customer_city,total_revenue,order_count,avg_review_score
sao paulo,1859556.83,15045,4.168277858176555
rio de janeiro,955573.97,6601,3.9092604930046635
belo horizonte,346039.04,2697,4.095144998370805
brasilia,295814.72,2071,4.056368330464716
curitiba,205999.33,1489,4.134962187318208
campinas,184657.87,1406,4.087523277467412
porto alegre,182319.55,1342,3.9661774090619017
salvador,173273.05,1188,3.741044776119403
guarulhos,139008.19,1144,4.129788897576232
niteroi,115890.26,825,3.920335429769392
sao bernardo do campo,102514.23,911,4.307025986525505
santos,98349.4,700,4.099255583126551
goiania,96547.85,660,4.078561917443409
fortaleza,93269.67,618,3.844927536231884
santo andre,89435.73,778,4.264976958525345
recife,85186.33,593,3.9335394126738796
florianopolis,84043.85,556,3.973520249221184
osasco,80820.34,724,4.254237288135593
jundiai,80398.04,549,4.170579029733959
belem,78802.74,431,3.875264270613108
sao jose dos campos,75425.31,667,4.305555555555555
sorocaba,74638.18,609,4.266471449487555
ribeirao preto,64672.27,499,4.233628318584071
juiz de fora,64456.78,423,4.155507559395248
nova iguacu,58217.83,423,3.718426501035197
campo grande,56513.68,312,4.151685393258427
vitoria,52067.59,374,3.963768115942029
joao pessoa,51502.15,245,4.042105263157895
sao goncalo,50833.27,385,3.6739130434782608
mogi das cruzes,50295.68,374,4.148491879350348
sao luis,50141.82,335,3.7238605898123325
barueri,49995.71,419,4.132196162046908
piracicaba,49173.47,356,4.237623762376238
teresina,49028.57,271,3.9100346020761245
contagem,48561.04,415,3.9285714285714284
uberlandia,47560.57,367,4.2525
vila velha,46895.83,326,3.9020172910662825
sao jose do rio preto,46669.73,329,4.237057220708447
londrina,45867.97,298,4.210365853658536
maceio,43592.59,236,3.7056451612903225
maua,43360.96,317,4.181286549707602
bauru,38903.69,263,4.252595155709343
praia grande,38815.81,301,4.127536231884058
cuiaba,38178.84,243,3.7301038062283736
maringa,37299.2,260,4.068627450980392
indaiatuba,36862.6,274,4.154798761609907
caxias do sul,36033.19,220,4.109756097560975
natal,35751.38,203,4.013215859030837
serra,35184.07,278,3.8524590163934427
divinopolis,34932.97,132,4.111801242236025
taboao da serra,34740.69,284,4.090909090909091
aracaju,34485.94,213,3.902542372881356
joinville,34399.99,257,4.024647887323944
marilia,33664.13,194,4.296116504854369
volta redonda,33329.1,227,3.845528455284553
duque de caxias,32769.23,250,3.78397212543554
campos dos goytacazes,32413.58,232,3.9397590361445785
petropolis,32247.68,234,3.967509025270758
sao caetano do sul,32159.8,272,4.296666666666667
carapicuiba,31769.850000000002,316,4.142857142857143
santa maria,31689.55,196,4.121739130434783
macae,30525.43,228,3.700389105058366
sao carlos,30011.49,236,4.110294117647059
cotia,29713.74,242,4.18796992481203
taubate,28887.1,260,4.1768707482993195
guaruja,28878.39,217,4.184738955823293
diadema,28839.98,276,3.856697819314642
betim,27863.71,196,4.165876777251185
nova friburgo,27345.1,142,3.764705882352941
uberaba,27338.65,186,4.458937198067633
feira de santana,26694.2,181,4.072916666666667
canoas,26470.14,205,3.982532751091703
montes claros,25967.15,207,4.334763948497854
presidente prudente,25517.329999999998,157,4.107344632768362
suzano,24549.9,230,4.233201581027668
americana,24462.18,216,4.217898832684825
cascavel,24311.48,151,3.972375690607735
blumenau,24240.08,181,4.1352657004830915
santana de parnaiba,23029.75,178,4.118811881188119
limeira,22804.26,186,4.0590909090909095
pelotas,22257.23,183,4.160975609756098
valinhos,22101.75,181,4.070093457943925
franca,22015.55,154,3.9895287958115184
porto velho,21890.55,108,4.0
ipatinga,21797.420000000002,169,3.8743718592964824
sumare,21274.11,178,3.900990099009901
pouso alegre,21181.45,128,4.111888111888112
jaboatao dos guararapes,21143.170000000002,131,4.0
nova lima,20815.15,96,4.03960396039604
manaus,20451.56,137,4.169934640522876
atibaia,20343.73,154,4.155555555555556
sao jose,20251.46,167,3.723076923076923
braganca paulista,20127.62,144,4.2974683544303796
embu das artes,19998.78,157,4.221556886227545
rio claro,19936.56,154,4.4010989010989015
araraquara,19871.850000000002,150,4.451428571428571
palmas,19342.0,107,4.0625
sao vicente,19234.08,159,4.160919540229885
rio das ostras,18998.99,130,3.6711409395973154
itaquaquecetuba,18889.92,168,3.953757225433526
barra mansa,18698.98,119,3.8931297709923665
itajai,18698.57,119,4.138211382113822
angra dos reis,18693.239999999998,83,3.6990291262135924
gravatai,18591.02,111,4.11864406779661
ponta grossa,18573.48,141,4.327160493827161
itapevi,18348.91,170,4.194871794871795
governador valadares,18106.35,134,4.260273972602739
jacarei,18055.78,189,4.130434782608695
sao joao de meriti,17777.56,124,3.7755102040816326
ananindeua,17709.44,85,4.068965517241379
novo hamburgo,17547.13,121,3.8979591836734695
campina grande,17410.54,67,4.205479452054795
sete lagoas,17263.35,126,4.318840579710145
anapolis,17129.88,111,4.142857142857143
teresopolis,17115.29,119,3.8372093023255816
botucatu,17104.51,100,4.044642857142857
araruama,16889.31,74,3.710843373493976
patos de minas,16726.98,99,4.048543689320389
balneario camboriu,16609.329999999998,97,4.070796460176991
aracatuba,16589.39,138,3.9316770186335406
paulinia,16475.05,127,4.23404255319149
cariacica,16386.68,135,4.1118421052631575
vitoria da conquista,16234.2,88,3.970873786407767
hortolandia,16225.15,142,3.825806451612903
rio grande,16189.98,121,4.023809523809524
vicosa,16125.15,89,3.792452830188679
cabo frio,16016.52,113,3.6507936507936507
cachoeiro de itapemirim,15871.630000000001,121,3.7925925925925927
pocos de caldas,15620.68,116,4.055172413793104
ferraz de vasconcelos,15549.53,109,4.168
marica,15216.26,133,3.9517241379310346
passo fundo,15163.71,112,4.21875
chapeco,15106.11,101,3.9516129032258065
sao jose dos pinhais,14899.05,130,4.085714285714285
guaratingueta,14751.119999999999,96,4.163461538461538
birigui,14611.34,78,4.221052631578948
mage,14316.76,106,4.046875
aparecida de goiania,14203.98,105,3.9914529914529915
rio branco,13936.23,72,4.05
varginha,13933.1,88,4.381443298969073
petrolina,13759.1,62,4.375
criciuma,13725.08,91,3.6964285714285716
itajuba,13667.8,92,4.122641509433962
resende,13390.35,115,3.8045112781954886
araras,13187.38,93,4.3628318584070795
nilopolis,13127.18,103,3.810810810810811
santa barbara d'oeste,13072.08,118,4.360902255639098
araxa,13046.42,75,3.707865168539326
jaragua do sul,12924.66,88,3.9
lavras,12790.960000000001,80,3.9130434782608696
olinda,12690.08,89,4.0
caieiras,12662.83,97,4.148514851485149
ribeirao das neves,12584.54,98,4.136752136752137
ourinhos,12543.03,77,4.065934065934066
pindamonhangaba,12480.28,98,4.538461538461538
itu,12266.34,129,4.25531914893617
itapetininga,12232.88,77,3.946236559139785
belford roxo,12205.36,104,3.6964285714285716
barbacena,12201.44,79,4.179775280898877
assis,12199.23,84,4.57
itatiba,12049.31,97,4.02803738317757
linhares,11925.11,64,4.027027027027027
santa luzia,11727.17,96,3.8545454545454545
mogi-guacu,11629.82,89,4.077669902912621
sao joao da boa vista,11627.81,80,4.297872340425532
caraguatatuba,11603.26,83,4.0576923076923075
foz do iguacu,11506.38,86,4.083333333333333
amparo,11395.73,63,4.47887323943662
macapa,11352.43,53,4.35
lages,11340.11,84,4.153846153846154
tatui,11281.03,72,4.317073170731708
sao leopoldo,11037.67,103,4.166666666666667
muriae,10949.43,63,4.493150684931507
palhoca,10910.460000000001,90,3.9622641509433962
araguari,10869.52,54,4.344827586206897
barreiras,10809.03,51,3.824561403508772
votorantim,10757.47,84,4.214285714285714
sobral,10648.85,33,4.029411764705882
rondonopolis,10644.04,64,3.986111111111111
gaspar,10623.34,29,4.170731707317073
tubarao,10606.130000000001,60,4.014925373134329
guarapari,10494.41,66,4.055555555555555
santa cruz do sul,10360.88,62,4.2375
valenca,10314.05,62,3.8507462686567164
varzea paulista,10281.380000000001,75,3.707317073170732
porto seguro,10241.09,39,3.08
salto,10184.03,89,4.412371134020619
ribeirao pires,10149.63,107,4.15
franco da rocha,10073.2,108,4.080357142857143
itabira,10069.51,77,3.922222222222222
toledo,10053.64,70,4.052631578947368
jatai,10040.37,54,3.8666666666666667
cacapava,9928.07,72,4.195121951219512
sao sebastiao,9833.44,57,3.7972972972972974
itanhaem,9727.09,74,4.34375
cajamar,9725.38,97,3.8230088495575223
caratinga,9690.26,62,4.140845070422535
catanduva,9680.83,72,4.076923076923077
rio verde,9558.41,64,3.5494505494505493
jau,9460.56,73,4.168674698795181
sao roque,9433.18,75,4.568181818181818
bertioga,9385.65,47,3.980769230769231
poa,9343.45,85,3.99
cachoeirinha,9297.25,72,3.963855421686747
caruaru,9265.7,63,4.333333333333333
mesquita,9191.92,76,3.489130434782609
parnamirim,9189.54,61,4.313432835820896
lins,9162.66,54,4.163934426229508
mairipora,9087.38,75,4.475609756097561
barretos,9077.11,69,4.205128205128205
conselheiro lafaiete,9061.460000000001,82,4.035714285714286
pato branco,9047.64,53,4.333333333333333
bage,8936.64,62,4.4
vinhedo,8895.12,90,4.158878504672897
dourados,8849.71,63,3.904109589041096
mogi mirim,8833.97,75,4.345238095238095
arapiraca,8728.71,29,3.735294117647059
pinhais,8682.82,66,4.347222222222222
lauro de freitas,8632.98,72,3.8227848101265822
pirassununga,8550.33,69,4.397260273972603
ilheus,8546.76,69,3.569620253164557
manhuacu,8510.0,64,4.402777777777778
guarapuava,8460.550000000001,62,4.297297297297297
brusque,8421.55,60,4.354838709677419
itapecerica da serra,8399.01,93,4.069306930693069
avare,8382.97,63,4.185714285714286
lagoa santa,8378.6,58,4.061538461538461
paracatu,8376.42,62,3.9473684210526314
votuporanga,8372.9,63,4.592105263157895
francisco morato,8344.17,94,4.295238095238095
luis eduardo magalhaes,8343.87,36,3.4186046511627906
jaguariuna,8312.47,60,3.7875
jandira,8260.47,84,4.03
ubatuba,8195.93,72,4.060975609756097
lajeado,8188.41,51,4.172413793103448
sao joao del rei,8168.07,66,4.375
leme,8152.92,50,4.169811320754717
itabuna,7874.55,60,4.045454545454546
videira,7822.35,44,4.040816326530612
teofilo otoni,7744.23,75,4.26595744680851
itauna,7743.95,56,4.285714285714286
alvorada,7702.2,56,4.05
timoteo,7697.87,52,4.372881355932203
lorena,7650.03,82,4.380434782608695
aruja,7606.78,68,4.223684210526316
trindade,7510.37,28,4.133333333333334
nova serrana,7447.26,49,4.054545454545455
tres lagoas,7431.320000000001,42,3.5319148936170213
fernandopolis,7415.16,52,4.350877192982456
juazeiro,7401.28,42,3.4893617021276597
colombo,7386.9,60,4.054054054054054
araguaina,7384.79,38,3.973684210526316
paranagua,7339.46,58,3.746268656716418
francisco beltrao,7291.58,50,4.035087719298246
campo mourao,7259.52,56,3.953125
ibirite,7241.58,47,4.145833333333333
camacari,7240.24,60,3.26027397260274
tres rios,7172.62,38,3.8974358974358974
imperatriz,7171.38,40,3.772727272727273
matao,7162.72,51,4.543859649122807
para de minas,7162.08,37,4.024390243902439
paranavai,7120.95,45,4.107142857142857
