order_date,total_revenue,order_count,avg_order_value
2016-09-15,134.97,1,44.99
2016-10-03,441.98,7,63.14
2016-10-04,8595.89,54,136.4426984126984
2016-10-05,6169.77,35,128.536875
2016-10-06,5889.96,41,125.31829787234042
2016-10-07,6075.35,38,138.07613636363638
2016-10-08,7592.89,36,185.19243902439024
2016-10-09,2399.7,20,92.29615384615384
2016-10-10,3159.57,34,85.39378378378379
2016-12-23,10.9,1,10.9
2017-01-05,396.9,32,12.403125
2017-01-06,916.38,4,229.095
2017-01-07,1351.9,4,270.38
2017-01-08,449.78,4,112.445
2017-01-09,673.79,5,112.29833333333333
2017-01-10,1434.87,6,239.14499999999998
2017-01-11,1855.27,10,185.527
2017-01-12,1478.59,12,105.61357142857142
2017-01-13,2450.68,10,245.06799999999998
2017-01-14,876.89,16,54.805625
2017-01-15,2199.57,14,104.74142857142859
2017-01-16,3275.02,18,142.39217391304348
2017-01-17,3302.5299999999997,32,89.25756756756756
2017-01-18,3216.4900000000002,30,100.51531250000001
2017-01-19,3553.95,29,101.54142857142857
2017-01-20,4035.83,28,103.48282051282051
2017-01-21,2313.71,22,68.05029411764706
2017-01-22,3619.27,30,109.67484848484848
2017-01-23,6299.22,36,123.51411764705882
2017-01-24,5155.3,38,122.7452380952381
2017-01-25,7114.95,57,112.93571428571428
2017-01-26,12907.97,82,133.07185567010308
2017-01-27,11178.95,59,151.0668918918919
2017-01-28,5056.01,28,174.3451724137931
2017-01-29,5966.76,32,135.60818181818183
2017-01-30,10241.15,48,142.23819444444445
2017-01-31,10476.63,64,130.957875
2017-02-01,7538.77,61,117.79328125
2017-02-02,8813.65,67,119.10337837837838
2017-02-03,9641.82,54,166.23827586206897
2017-02-04,13599.27,64,194.27528571428573
2017-02-05,8406.89,74,102.5230487804878
2017-02-06,9399.76,78,111.90190476190476
2017-02-07,13704.69,108,111.42024390243903
2017-02-08,11550.69,83,125.55097826086957
2017-02-09,8971.6,73,115.02051282051282
2017-02-10,13142.34,63,187.7477142857143
2017-02-11,4307.56,45,84.46196078431373
2017-02-12,14922.35,61,233.16171875
2017-02-13,10136.15,74,117.86220930232558
2017-02-14,10885.41,66,145.1388
2017-02-15,6526.87,56,110.62491525423728
2017-02-16,5823.14,49,107.83592592592593
2017-02-17,6801.26,45,121.45107142857144
2017-02-18,7297.33,52,115.83063492063492
2017-02-19,3564.83,37,86.9470731707317
2017-02-20,7156.41,59,106.8120895522388
2017-02-21,8023.17,39,195.6870731707317
2017-02-22,5935.72,53,102.34
2017-02-23,6271.34,57,89.59057142857144
2017-02-24,6630.12,60,94.716
2017-02-25,3573.69,39,83.10906976744187
2017-02-26,5132.49,42,104.74469387755101
2017-02-27,5764.32,41,113.02588235294117
2017-02-28,10701.76,53,164.64246153846153
2017-03-01,12203.41,93,109.94063063063064
